Monkey,NeuronIndex,Stimulus_1,Stimulus_2,Stimulus_3,Stimulus_4,Stimulus_5,Stimulus_6,Stimulus_7,SpikeCount
n,1,-8,-12,-15,-11,-13,-7,-16,7
n,1,9,10,8,12,14,15,16,1
n,1,9,5,9,16,11,9,15,6
n,1,-7,-1,2,-5,-9,-7,-1,2
n,1,-9,-11,-9,-8,-10,-18,-13,6
n,1,12,12,14,9,14,8,9,5
n,1,-9,-14,-16,-10,-12,-14,-16,4
n,1,8,10,9,11,13,14,7,3
n,1,-12,-9,-4,-13,-12,-11,-18,15
n,1,-7,-13,-5,-10,-12,-14,-8,12
n,1,3,6,1,4,4,4,4,21
n,1,-13,-15,-15,-7,-14,-9,-10,2
n,1,13,13,12,10,9,15,12,5
n,1,4,-1,-3,-0,-3,1,2,7
n,1,-5,-4,-7,-8,-6,-3,-9,10
n,1,13,9,14,14,12,10,6,6
n,1,13,11,11,12,3,14,13,1
n,1,11,7,14,14,14,8,15,9
n,1,11,8,9,14,15,14,10,3
n,1,9,9,13,8,13,11,12,11
n,1,6,7,3,9,2,3,2,15
n,1,-1,-2,-4,-5,-6,-7,-1,5
n,1,14,7,10,10,13,13,11,1
n,1,12,9,13,10,11,11,10,4
n,1,-12,-8,-11,-9,-18,-12,-9,13
n,1,4,-2,-8,-4,-8,-3,-6,8
n,1,-9,-12,-8,-14,-10,-5,-13,7
n,1,-3,-5,-1,-3,-4,-3,-1,3
n,1,-5,-0,-10,-3,-5,-5,-7,11
n,1,-1,-5,-4,-4,-4,-10,-2,8
n,1,4,4,0,0,0,-4,-4,10
n,1,-6,-1,-1,-11,-1,-6,-7,14
n,1,-1,-1,-7,-2,-2,0,-6,3
n,1,-17,-11,-10,-11,-11,-14,-9,4
n,1,12,9,12,12,9,6,5,3
n,1,-9,-9,-7,-13,-15,-11,-9,5
n,1,13,9,13,14,9,12,17,5
n,1,-7,-6,-13,-13,-12,-7,-7,6
n,1,2,2,-2,2,0,1,-0,9
n,1,-11,-7,-7,-12,-8,-12,-13,12
n,1,12,12,11,10,13,12,14,6
n,1,11,12,11,15,11,12,12,15
n,1,-8,-16,-13,-15,-16,-11,-9,5
n,1,0,-0,1,-2,4,-0,-1,9
n,1,11,8,8,11,7,9,12,2
n,1,-17,-12,-11,-11,-11,-10,-15,3
n,1,-18,-16,-10,-10,-3,-15,-13,2
n,1,12,10,16,16,7,9,9,2
n,1,13,12,15,12,11,7,12,0
n,1,8,13,17,10,10,6,8,10
n,1,-14,-17,-15,-8,-10,-10,-12,2
n,1,-10,-13,-19,-10,-13,-14,-14,3
n,1,13,17,9,13,12,11,10,6
n,1,10,11,10,11,12,6,13,7
n,1,-12,-13,-9,-15,-10,-10,-11,7
n,1,4,-1,2,0,-2,-4,-2,13
n,1,-3,1,-2,-5,-1,-2,4,19
n,1,4,1,1,1,-3,6,-2,15
n,1,12,14,16,13,13,14,12,1
n,1,3,7,11,9,10,15,13,3
n,1,17,12,7,11,12,10,10,10
n,1,-11,-13,-11,-15,-15,-9,-9,10
n,1,4,5,2,4,4,3,8,1
n,1,-1,5,4,3,1,1,8,6
n,1,-6,-11,-9,-4,-6,-6,-8,2
n,1,-4,-4,0,0,0,4,4,13
n,1,5,1,6,3,9,4,3,9
n,1,12,10,9,13,11,14,11,7
n,1,5,-0,4,4,3,-0,3,5
n,1,-14,-13,-12,-10,-12,-14,-13,6
n,1,13,16,4,10,7,12,14,1
n,1,-4,-3,-0,-8,-5,-3,-6,4
n,1,-12,-13,-16,-11,-12,-10,-14,0
n,1,-3,-3,-7,-4,-3,-9,-1,10
n,1,-15,-13,-12,-16,-12,-17,-15,7
n,1,6,1,1,2,2,6,1,4
n,1,-2,-6,-4,-3,-9,-4,-7,8
n,1,12,6,9,14,9,14,14,10
n,1,-0,0,1,-2,0,-5,-0,5
n,1,4,4,0,0,0,-4,-4,9
n,1,-9,-11,-14,-15,-10,-13,-10,4
n,1,-18,-9,-10,-12,-12,-12,-6,6
n,1,6,17,13,12,14,10,7,1
n,1,7,5,-1,5,7,8,1,1
n,1,14,11,12,11,8,8,8,5
n,1,0,-0,-1,5,6,3,6,6
n,1,1,11,3,5,10,8,1,4
n,1,8,10,11,15,11,13,5,6
n,1,2,-3,-4,-4,-5,-5,-1,7
n,1,2,-1,2,0,-3,-1,-1,8
n,1,-0,-5,-4,-3,-6,-2,-10,2
n,1,-1,-1,-2,-3,0,-6,-3,18
n,1,9,8,4,11,12,10,7,9
n,1,15,9,11,7,11,11,17,2
n,1,11,11,11,13,13,12,11,5
n,1,4,4,0,0,0,-4,-4,8
n,1,-7,-3,4,-5,-4,-3,-4,9
n,1,-6,1,-5,-3,-8,-4,-4,13
n,1,-1,2,-5,1,-3,-2,0,6
n,1,-13,-14,-14,-10,-9,-12,-15,5
n,1,9,9,7,-1,5,2,-2,2
n,1,4,6,4,2,2,3,5,11
n,1,-2,0,-6,-9,-6,-4,-0,6
n,1,9,9,8,2,4,2,4,12
n,1,-12,-11,-19,-8,-13,-15,-13,1
n,1,10,9,7,12,10,12,9,0
n,1,6,13,14,7,9,10,19,2
n,1,8,17,9,6,12,10,6,2
n,1,-7,-9,-16,-7,-11,-14,-12,3
n,1,10,12,10,9,10,17,14,8
n,1,6,17,13,12,17,10,14,9
n,1,-4,-4,0,0,0,4,4,6
n,1,-4,-4,-6,2,-11,-7,-2,0
n,1,-13,-6,-15,-9,-14,-15,-9,6
n,1,-8,-11,-12,-12,-10,-9,-12,7
n,1,-5,-1,-3,-2,-5,-4,-9,1
n,1,10,9,14,9,9,12,7,1
n,1,-15,-8,-13,-15,-13,-9,-12,2
n,1,0,3,1,-2,3,2,4,9
n,1,3,3,2,1,7,3,1,0
n,1,0,4,7,5,1,-0,-0,26
n,1,6,4,2,7,2,-1,4,4
n,1,14,13,9,13,11,10,5,3
n,1,5,3,-2,8,0,3,1,8
n,1,7,5,4,8,11,7,4,3
n,1,-4,-4,0,0,0,4,4,5
n,1,14,15,7,9,11,14,7,4
n,1,-4,-7,-5,2,0,-4,-5,5
n,1,7,15,15,10,11,10,9,0
n,1,7,1,5,6,1,7,5,4
n,1,-17,-9,-12,-14,-9,-6,-14,2
n,1,12,13,12,15,13,8,10,15
n,1,-11,-11,-10,-17,-14,-10,-6,10
n,1,-10,-8,-12,-9,-13,-7,-9,3
n,1,11,11,14,12,15,11,9,0
n,1,4,6,-1,9,8,6,6,7
n,1,8,11,8,10,12,11,14,4
n,1,-17,-12,-11,-10,-16,-16,-10,4
n,1,-7,-12,-17,-10,-15,-11,-11,7
n,1,8,11,12,10,13,14,8,1
n,1,-4,-4,0,0,0,4,4,15
n,1,15,13,15,7,13,10,15,1
n,1,-3,-4,-5,-5,-7,-7,-7,0
n,1,6,9,3,4,2,8,3,4
n,1,13,8,10,14,9,6,14,2
n,1,6,3,7,3,7,6,7,10
n,1,8,1,7,3,3,-0,0,4
n,1,2,0,-7,-2,-6,-6,-8,0
n,1,15,12,15,15,12,7,7,13
n,1,-11,-12,-8,-13,-11,-15,-12,1
n,1,14,12,11,12,13,10,11,2
n,1,4,1,-6,-8,-6,-5,-5,1
n,1,-3,-6,-6,-9,-6,-10,-5,3
n,1,11,9,5,6,12,12,9,0
n,1,13,10,12,14,9,11,9,1
n,1,12,13,12,6,12,16,14,1
n,1,2,4,5,5,1,4,4,1
n,1,-7,-8,-10,-13,-9,-14,-12,3
n,1,-1,4,6,2,3,2,1,0
n,1,5,12,11,11,6,13,9,0
n,1,12,12,15,14,10,12,16,2
n,1,-3,-3,-6,-5,-1,-9,-5,4
n,1,-12,-8,-14,-9,-12,-14,-13,0
n,1,-8,-5,-2,-2,-1,-9,-5,2
