resp,target,subject,session,stimulus_1,stimulus_2,stimulus_3,stimulus_4,stimulus_5,stimulus_6,stimulus_7
0,0,P,1,-5,-5,5,-4,5,-5,5
0,0,P,1,-5,-5,-5,-4,-4,-4,-4
0,0,P,1,-5,5,4,-5,5,-4,-5
0,0,P,1,-5,-5,4,-5,4,-4,4
0,0,P,1,5,4,-5,-5,-5,4,-4
0,1,P,1,4,-4,4,4,5,5,4
0,1,P,1,5,4,4,4,-4,5,4
0,0,P,1,5,-5,4,-5,-4,-5,5
1,1,P,1,5,4,4,5,4,4,5
1,1,P,1,5,4,5,-4,4,-5,4
0,0,P,1,-4,-4,-4,-5,-4,-5,-4
0,0,P,1,-4,-4,-4,-5,5,4,4
1,1,P,1,5,4,5,-5,4,4,-5
1,1,P,1,4,5,5,4,4,5,5
0,0,P,1,-4,-5,-5,-4,-5,-5,-4
1,1,P,1,5,-4,-4,5,4,5,5
0,0,P,1,-5,-5,-4,-5,-5,5,-4
0,1,P,1,4,4,4,5,-5,-4,4
0,0,P,1,-4,-4,-5,-4,-4,-4,-4
0,1,P,1,-5,5,4,4,-5,-4,5
0,0,P,1,-5,5,-5,-4,-5,-5,-4
0,1,P,1,4,5,5,-5,4,4,-4
0,1,P,1,4,5,4,4,5,-5,4
0,0,P,1,-5,-4,-5,-5,-4,-5,-5
1,1,P,1,5,4,5,4,5,5,4
0,0,P,1,-4,-5,-5,-5,-4,-4,-5
0,0,P,1,-5,5,5,-4,-5,-5,-4
0,0,P,1,-5,-4,-5,-4,-5,-5,-5
0,1,P,1,4,-4,5,5,5,-5,5
0,0,P,1,-4,-5,4,-4,4,-4,-4
0,0,P,1,-4,-5,-5,-5,5,-4,-4
0,0,P,1,4,-4,-4,-4,4,-5,-5
0,0,P,1,-5,-4,-5,-4,-5,-4,-5
1,1,P,1,4,5,4,5,5,4,4
0,0,P,1,-4,-5,-5,-4,-4,4,5
1,1,P,1,4,4,5,4,5,5,5
0,0,P,1,-4,-5,-4,-4,-5,-4,-4
0,0,P,1,-4,5,-4,-4,-5,-4,-4
0,0,P,1,-5,-4,-5,-5,-4,-5,-5
0,0,P,1,-4,5,-5,-5,5,-4,-4
0,1,P,1,5,-4,-4,5,-4,4,4
0,0,P,1,-5,-4,-5,-4,-5,-5,-5
0,0,P,1,-5,-5,-5,-5,4,-5,-4
0,0,P,1,5,5,-4,-4,-4,4,-5
0,0,P,1,4,-5,-4,-5,-5,-5,-5
1,1,P,1,4,4,4,4,5,5,5
0,0,P,1,5,-5,-4,-4,-4,5,-4
0,0,P,1,4,5,-5,-4,-4,-4,-4
1,1,P,1,4,-4,-5,5,-4,4,5
0,0,P,1,-5,4,-5,4,5,-4,-5
1,0,P,1,-4,-4,-4,5,4,-4,5
0,0,P,1,-5,4,-5,4,4,-4,-4
0,0,P,1,-5,4,-5,-4,-5,4,5
0,0,P,1,4,-5,-4,-4,-5,-4,-5
0,0,P,1,-4,-4,-4,-5,-4,-4,-4
0,0,P,1,-4,5,-4,4,-4,-5,-4
0,1,P,1,4,-5,-4,4,5,-5,4
1,1,P,1,-5,4,5,5,-4,4,4
1,1,P,1,5,-5,5,5,-5,4,5
1,1,P,1,4,4,5,5,5,4,4
0,0,P,1,-4,-4,-4,-5,-4,-5,-4
0,0,P,1,-4,5,5,-4,-5,-4,-5
0,0,P,1,-5,-5,4,-4,-4,-4,-5
0,0,P,1,-5,-5,-4,-4,-5,-4,-4
1,1,P,1,5,5,4,4,-5,5,5
1,1,P,1,5,4,5,5,5,5,4
1,1,P,1,5,5,4,4,4,5,-5
0,1,P,1,-5,5,5,4,5,5,5
1,1,P,1,5,4,4,5,4,5,4
1,1,P,1,5,5,4,5,4,-4,5
1,1,P,1,-5,5,4,5,4,5,5
0,0,P,1,-4,-5,-4,-5,-5,-5,-4
0,0,P,1,-4,-4,-5,-4,-5,-4,-4
0,0,P,1,4,-4,-4,-4,4,5,-5
1,1,P,1,4,-4,5,-5,-5,4,5
0,0,P,1,-4,-5,-4,-5,-4,-4,-5
1,1,P,1,5,5,4,5,4,-5,5
0,0,P,1,-4,-4,-5,-4,-5,-4,5
0,0,P,1,4,-5,5,-4,-4,-4,4
0,0,P,1,5,5,-4,-5,5,-4,-5
0,0,P,1,-5,-5,5,-5,-4,4,4
1,1,P,1,4,4,4,5,-4,4,4
0,0,P,1,-5,-4,-4,-5,4,4,-4
0,1,P,1,5,5,4,-4,-4,4,5
0,0,P,1,-4,-4,-5,-4,-4,5,4
0,0,P,1,-4,4,-4,4,-4,-5,-4
1,1,P,1,5,5,-5,5,4,4,4
1,1,P,1,-5,4,4,-5,4,5,4
1,1,P,1,4,4,5,4,-5,4,-4
1,1,P,1,4,5,5,-4,5,5,5
1,0,P,1,-4,5,-4,-4,4,5,-4
0,0,P,1,-4,-4,4,-5,-4,5,4
1,1,P,1,4,5,5,5,4,5,4
1,1,P,1,4,5,-5,5,-4,5,5
1,0,P,1,5,5,-5,5,-5,-4,-5
1,1,P,1,5,5,4,5,5,5,4
1,1,P,1,4,5,4,5,-4,5,4
1,1,P,1,5,4,4,4,5,5,4
0,0,P,1,-4,-4,-4,-4,-4,-4,-4
1,1,P,1,-5,4,4,4,-5,4,-4
0,1,P,1,-5,4,5,-5,5,4,-5
0,0,P,1,-5,-4,-5,-5,5,-4,-4
1,1,P,1,-4,5,4,-5,-5,5,4
0,0,P,1,-5,5,-4,-5,-5,-5,-4
0,0,P,1,4,-4,-4,4,-4,-5,-5
0,0,P,1,-5,-5,4,4,-5,-5,4
1,1,P,1,4,5,5,-5,-4,5,-5
0,0,P,1,-4,5,-5,-4,-4,-4,-5
0,0,P,1,-5,-4,4,-5,-4,-5,-5
0,0,P,1,-4,-5,-5,5,-5,-5,5
0,0,P,1,-4,-5,-5,-4,-4,-4,-5
1,1,P,1,-5,4,-5,4,4,4,5
0,0,P,1,-5,-5,-5,-4,-5,-4,-4
0,1,P,1,-4,-4,4,5,5,4,5
1,0,P,1,-4,5,-4,5,-4,-4,4
1,0,P,1,-5,4,4,4,-4,-4,-5
1,0,P,1,-4,-4,5,4,4,-5,-4
0,0,P,1,-4,-5,-4,-5,-4,-5,-4
0,0,P,1,5,-4,5,-4,-5,-4,-4
1,1,P,1,5,5,5,4,-4,4,4
0,1,P,1,5,5,5,-5,4,-4,4
0,1,P,1,-4,-5,4,5,5,4,-5
0,0,P,1,-4,-4,-4,-5,-4,-4,-4
0,0,P,1,-4,-4,-4,4,-4,-5,-5
0,0,P,1,-4,-4,4,-4,-5,-5,-4
1,1,P,1,5,5,5,-5,5,4,4
1,1,P,1,-5,5,-5,4,4,5,5
0,1,P,1,-4,-4,5,4,4,-5,5
1,0,P,1,-4,-5,-5,4,4,4,-5
1,1,P,1,5,-4,4,-4,4,4,-5
0,0,P,1,-5,-5,-4,-5,-5,-4,-4
0,0,P,1,5,-5,-5,-4,-4,5,-4
0,0,P,1,-4,5,-5,5,-4,-5,5
1,1,P,1,4,4,4,4,5,4,4
1,1,P,1,5,-5,5,5,5,4,5
1,1,P,1,5,5,5,4,4,5,-5
0,0,P,1,-4,4,-4,-4,-4,-4,5
1,1,P,1,-5,5,5,5,4,5,5
1,1,P,1,5,5,5,-4,5,4,5
0,1,P,1,-5,-5,5,5,5,4,4
0,0,P,1,-5,-4,-5,-5,-4,-4,-4
0,1,P,1,5,4,5,-4,4,4,4
0,0,P,1,-4,-5,-4,4,-5,4,-4
0,0,P,1,5,-5,-5,-5,-5,-4,-5
1,1,P,1,4,4,4,4,4,4,-5
0,0,P,1,-5,-4,-5,-5,-5,-4,-4
1,1,P,1,5,4,5,4,4,4,5
1,1,P,1,4,4,5,4,4,5,-4
1,1,P,1,5,-4,5,4,5,4,4
1,1,P,1,4,4,5,5,5,5,5
1,1,P,1,5,5,4,-5,5,5,5
0,0,P,1,-5,-4,-4,-4,-5,-4,-4
1,1,P,1,4,4,4,5,4,-4,5
1,1,P,1,5,4,-5,4,5,5,5
0,0,P,1,-5,-5,-5,-5,-4,-4,-4
1,1,P,1,4,-5,4,5,4,4,5
1,0,P,1,-4,-4,5,4,-5,5,-5
1,1,P,1,4,5,5,4,5,4,4
0,0,P,1,4,-5,-4,-5,5,-4,5
0,0,P,1,-4,4,-5,-5,4,-4,-4
1,1,P,1,4,4,4,5,4,-4,4
0,0,P,1,-4,-4,-5,-4,5,-5,-5
0,1,P,1,-4,-5,4,5,-5,5,4
1,1,P,1,5,4,5,5,4,4,4
0,0,P,1,-5,-5,-4,-5,-4,-5,-5
1,1,P,1,5,4,5,4,-5,5,-5
0,0,P,1,-4,-4,5,-5,4,5,-4
0,0,P,1,5,-5,-5,5,-4,-5,-5
0,1,P,1,5,-5,5,-5,4,-5,4
0,0,P,1,-5,-4,-5,4,-5,-4,-4
0,0,P,1,-4,-4,5,5,-5,-5,4
0,0,P,1,-4,-5,-4,-5,-4,5,-4
0,0,P,1,-4,5,-5,-4,-5,-4,-5
0,0,P,1,-4,-5,-5,-4,4,4,-4
1,1,P,1,5,-5,5,4,4,5,5
1,0,P,1,5,5,-4,-4,-5,-5,-5
1,1,P,1,4,5,-5,5,-4,-4,4
0,0,P,1,-4,-4,-4,4,-4,-5,5
0,1,P,1,-4,4,-5,-4,4,4,4
0,0,P,1,-5,-4,-4,-4,4,-5,5
0,1,P,1,5,-4,-4,4,-5,5,5
0,0,P,1,-5,-5,-5,-5,-5,-4,-5
0,0,P,1,4,-5,-4,4,-4,5,-4
1,1,P,1,-4,4,5,-5,5,5,-4
1,1,P,1,4,5,4,-5,5,4,5
0,0,P,1,-4,4,4,5,-4,-4,-4
1,1,P,1,4,4,4,-4,4,5,4
1,1,P,1,5,5,-4,4,4,4,-5
0,0,P,1,-4,-5,-4,-4,-5,4,-4
0,0,P,1,5,-5,-5,-5,5,-5,-4
1,1,P,1,-5,5,5,4,4,5,-5
0,0,P,1,-4,-4,5,-4,-4,-4,-4
0,0,P,1,-5,-5,-4,4,5,-4,5
1,0,P,1,-4,5,-5,5,-4,-5,-5
0,1,P,1,-5,4,4,4,5,-4,5
0,0,P,1,4,-5,-4,-5,-4,-4,-4
0,0,P,1,-5,-4,-5,-5,-5,5,-5
0,0,P,1,-5,-4,-4,-4,-5,-5,-4
0,1,P,1,4,-4,4,4,4,-4,-4
0,0,P,1,-4,-4,-5,-4,4,-5,-4
1,1,P,1,-5,5,4,4,-4,5,4
0,0,P,1,-4,5,-4,-5,-5,-5,4
0,0,P,1,-4,-4,-4,-4,5,-4,5
0,0,P,1,-4,4,4,-4,-5,-4,-4
1,1,P,1,5,4,5,5,5,5,5
1,1,P,1,4,4,5,5,5,-5,5
0,0,P,1,4,5,-5,-4,-5,-5,-4
1,0,P,1,-5,4,-5,-4,5,-5,5
0,1,P,1,5,4,-5,-4,5,4,4
0,0,P,1,-4,-5,-4,-4,-5,-4,5
0,0,P,1,-5,-5,5,-4,-4,-5,-5
1,1,P,1,-5,4,5,5,-4,4,4
1,1,P,1,5,5,5,-4,5,-4,4
0,1,P,1,5,-4,-5,4,4,4,-4
0,0,P,1,-4,-5,-5,-5,-5,-4,-4
0,0,P,1,5,4,-4,-4,-5,-4,-4
0,0,P,1,-5,-5,5,4,-5,5,-4
0,0,P,1,-5,-4,-4,-4,-5,-5,-5
1,1,P,1,5,5,5,4,5,5,-5
1,1,P,1,4,5,4,5,-5,4,-4
0,0,P,1,-4,-5,-5,-4,-4,-5,-4
0,0,P,1,-5,-5,4,-4,-5,-5,-4
0,0,P,1,4,5,-4,-4,-5,4,-4
0,0,P,1,-4,-4,-4,-5,4,5,4
0,0,P,1,-5,4,-4,4,-5,-4,-5
0,0,P,1,-5,-4,-5,4,-4,-4,-4
1,0,P,1,-4,-5,-5,4,5,-5,4
1,1,P,1,4,5,-4,5,5,4,4
1,1,P,1,4,4,-4,4,-4,5,4
0,0,P,1,-5,-4,-5,4,-4,-4,-4
0,0,P,1,-4,5,-5,-4,-5,4,5
0,1,P,1,-4,4,4,-5,-5,4,4
0,0,P,1,-4,-5,4,-4,-4,-5,-4
0,0,P,1,-4,-5,-4,-5,-5,-4,5
